department_id;department_name;department_head;phone;email;location;status;is_active;created_at;updated_at
1;"Project Management";"Rahul Khanna";9820111122;rahul.khanna@arkprojects.com;"Site Office - Level 1";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
2;Architecture;"Neha S. Mehta";9819934455;neha.mehta@arkprojects.com;"Design Studio - Worli";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
3;"Structural Engineering";"S. Prakash";9892556677;prakash.struct@arkprojects.com;"Consultant Office - Andheri";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
4;"MEP Engineering";"Arun V. Iyer";9922445566;arun.iyer@arkprojects.com;"MEP Cabin - Site Block B";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
5;"Contracts & Procurement";"Vikas Sharma";9819234567;vikas.sharma@arkprojects.com;"Corporate Office - Lower Parel";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
6;"Finance & Accounts";"Priya R. Desai";9819256789;priya.desai@arkprojects.com;"Corporate Office - Lower Parel";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
7;"Human Resources";"Anita Rodrigues";8899776655;anita.hr@arkprojects.com;"Corporate Office - Lower Parel";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
8;"Quality Control";"Rohit Tamhane";9820345678;rohit.qc@arkprojects.com;"QC Cabin - Site Block C";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
9;"Safety & Compliance";"Mahesh Patil";9988776655;mahesh.safety@arkprojects.com;"Site Safety Cabin";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
10;"Store & Inventory";"Devendra Pawar";9892012345;devendra.store@arkprojects.com;"Main Store - Basement 1";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
11;"IT & Technical Support";"Harshit Singh";9833445566;harshit.it@arkprojects.com;"IT Cabin - Ground Floor";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
12;"Sales & Marketing";"Ritu Mishra";9820012345;ritu.sales@arkprojects.com;"Marketing Office - Bandra";Active;1;"2025-11-18 15:10:36";"2025-11-18 15:10:36"
13;"Operations & Support";"Ramesh Singh";9820001122;ops.support@houseofark.com;"On Site Admin Block";Active;1;"2025-11-18 19:11:51";"2025-11-18 19:11:51"
