user_id;first_name;last_name;username;password_hash;email;phone;role;DEPARTMENT_ID;status;access_level;joined_date;last_login;assignment;is_active;created_at;updated_at
1;Rahul;Deshmukh;rahul.deshmukh;Ark@123;rahul.deshmukh@houseofark.com;9876543210;"Project Manager";1;Active;Admin;2023-05-01;"2025-11-10 09:12:00";"Oversee all site operations";1;"2025-11-15 18:02:13";"2025-11-18 19:48:00"
2;Neha;Mehta;neha.mehta;Ark@123;neha.mehta@houseofark.com;9819934455;"Lead Architect";2;Active;Manager;2023-04-12;"2025-11-14 08:45:00";"Design approvals, RERA certs";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
3;Sanjeev;Prakash;s.prakash;Ark@123;sanjeev.prakash@houseofark.com;9892556677;"Structural Engineer";3;Active;Engineer;2023-06-10;"2025-11-13 10:05:00";"Structural checks & reports";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
4;Arun;Iyer;arun.iyer;Ark@123;arun.iyer@houseofark.com;9922445566;"MEP Lead";4;Active;Manager;2023-07-01;"2025-11-12 11:12:00";"MEP coordination";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
5;Kavita;Rao;kavita.rao;Ark@123;kavita.rao@houseofark.com;9876543210;"MEP Engineer";4;Active;Engineer;2024-01-15;"2025-11-11 09:00:00";"HVAC & plumbing";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
6;Rohit;Bedi;rohit.bedi;Ark@123;rohit.bedi@houseofark.com;9900112233;"MEP Technician";4;Active;Engineer;2024-05-20;"2025-11-10 07:40:00";"Site MEP support";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
7;Vikas;Sharma;vikas.sharma;Ark@123;vikas.sharma@houseofark.com;9819234567;"Head - Contracts";5;Active;Manager;2023-03-20;"2025-11-09 16:00:00";"Vendor negotiations";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
8;Priyanka;Roy;priyanka.roy;Ark@123;priyanka.roy@houseofark.com;9819012345;"Procurement Executive";5;Active;Staff;2024-02-01;"2025-11-12 12:30:00";"Purchase orders, challans";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
9;Priya;Desai;priya.desai;Ark@123;priya.desai@houseofark.com;9819256789;"Head - Finance";6;Active;Manager;2023-02-10;"2025-11-13 14:22:00";"Accounts & payroll";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
10;Anand;Kapoor;anand.kapoor;Ark@123;anand.kapoor@houseofark.com;9811122334;Accountant;6;Active;Staff;2024-04-01;"2025-11-12 10:31:00";"Vendor payments";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
11;Meera;Bose;meera.bose;Ark@123;meera.bose@houseofark.com;9833445566;"Finance Assistant";6;Active;Staff;2024-07-20;"2025-11-10 08:50:00";"Invoicing, receipts";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
12;Anita;Rodrigues;anita.rodrigues;Ark@123;anita.rodrigues@houseofark.com;8899776655;"HR Head";7;Active;Manager;2023-01-05;"2025-11-15 09:05:00";"Recruitment & HR";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
13;Rohit;Tamhane;rohit.tamhane;Ark@123;rohit.tamhane@houseofark.com;9820345678;"QC Head";8;Active;Manager;2023-03-01;"2025-11-14 07:30:00";"Quality standards & checks";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
14;Sahil;Gupta;sahil.gupta;Ark@123;sahil.gupta@houseofark.com;9900223344;"QC Engineer";8;Active;Engineer;2023-06-15;"2025-11-12 09:15:00";"Site QC - materials";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
15;Maya;Iyer;maya.iyer;Ark@123;maya.iyer@houseofark.com;9887766554;"QC Engineer";8;Active;Engineer;2023-07-11;"2025-11-11 08:22:00";"Workmanship checks";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
16;Dev;Menon;dev.menon;Ark@123;dev.menon@houseofark.com;9877001122;"QC Inspector";8;Active;Staff;2024-02-20;"2025-11-10 17:01:00";"Daily QC logs";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
17;Rhea;Nair;rhea.nair;Ark@123;rhea.nair@houseofark.com;9966554433;"QC Engineer";8;Active;Engineer;2024-03-30;"2025-11-12 13:40:00";"Sampling & testing";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
18;Amit;Vora;amit.vora;Ark@123;amit.vora@houseofark.com;9813344455;"QC Inspector";8;Active;Staff;2024-06-18;"2025-11-09 09:11:00";"Material compaction tests";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
19;Shilpa;Reddy;shilpa.reddy;Ark@123;shilpa.reddy@houseofark.com;9890099887;"QC Engineer";8;Active;Engineer;2024-08-10;"2025-11-10 11:25:00";"Concrete tests & records";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
20;Karan;Malhotra;karan.malhotra;Ark@123;karan.malhotra@houseofark.com;9821122333;"QC Assistant";8;Active;Staff;2024-09-12;"2025-11-08 08:45:00";"QC support";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
21;Leena;Pillai;leena.pillai;Ark@123;leena.pillai@houseofark.com;9876549900;"QC Engineer";8;Active;Engineer;2024-10-05;"2025-11-07 10:20:00";"Plaster & finishing checks";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
22;Manish;Bhatt;manish.bhatt;Ark@123;manish.bhatt@houseofark.com;9815566778;"QC Inspector";8;Active;Staff;2025-01-12;"2025-11-06 07:50:00";"Site QC logs";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
23;Isha;Chopra;isha.chopra;Ark@123;isha.chopra@houseofark.com;9900776655;"QC Engineer";8;Active;Engineer;2025-02-21;"2025-11-05 12:00:00";"Sample testing";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
24;Tarun;Deshmukh;tarun.deshmukh;Ark@123;tarun.deshmukh@houseofark.com;9898877665;"QC Technician";8;Active;Staff;2025-03-10;"2025-11-04 09:00:00";"On-site QC";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
25;Sana;Khatri;sana.khatri;Ark@123;sana.khatri@houseofark.com;9812233445;"QC Engineer";8;Active;Engineer;2025-04-08;"2025-11-03 08:10:00";"Finishing QC";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
26;Vivek;Desai;vivek.desai;Ark@123;vivek.desai@houseofark.com;9813344112;"QC Assistant";8;Active;Staff;2025-05-01;"2025-11-02 15:30:00";"QC admin";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
27;Mahesh;Patil;mahesh.patil;Ark@123;mahesh.patil@houseofark.com;9988776655;"Head - Safety";9;Active;Manager;2023-05-12;"2025-11-12 08:00:00";"Safety policies & audits";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
28;Deepak;Kumar;deepak.kumar;Ark@123;deepak.kumar@houseofark.com;9899090909;"Safety Officer";9;Active;Staff;2023-09-22;"2025-11-11 07:45:00";"PPE checks & toolbox talks";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
29;Ritu;Sharma;ritu.sharma;Ark@123;ritu.sharma@houseofark.com;9870011223;"Safety Officer";9;Active;Staff;2024-01-16;"2025-11-10 09:05:00";"Incident reporting";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
30;Samir;Khan;samir.khan;Ark@123;samir.khan@houseofark.com;9900114455;"Safety Supervisor";9;Active;Staff;2024-04-05;"2025-11-09 10:12:00";"Site safety rounds";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
31;Anil;Bhat;anil.bhat;Ark@123;anil.bhat@houseofark.com;9884433221;"Safety Inspector";9;Active;Staff;2024-07-12;"2025-11-08 08:40:00";"Compliance checks";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
32;Richa;Gandhi;richa.gandhi;Ark@123;richa.gandhi@houseofark.com;9899988776;"Safety Officer";9;Active;Staff;2024-08-25;"2025-11-07 07:20:00";"Safety audits";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
33;Devendra;Pawar;devendra.pawar;Ark@123;devendra.pawar@houseofark.com;9892012345;"Store In-charge";10;Active;Manager;2023-03-18;"2025-11-13 09:30:00";"Inventory & challans";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
34;Suresh;Nair;suresh.nair;Ark@123;suresh.nair@houseofark.com;9870091122;"Store Assistant";10;Active;Staff;2024-02-02;"2025-11-12 08:55:00";"Material issue";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
35;Mohit;Agarwal;mohit.agarwal;Ark@123;mohit.agarwal@houseofark.com;9817766554;"Store Assistant";10;Active;Staff;2024-06-15;"2025-11-11 10:45:00";"Goods receipt";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
36;Ritika;Sen;ritika.sen;Ark@123;ritika.sen@houseofark.com;9900991122;"Store Clerk";10;Active;Staff;2024-09-20;"2025-11-10 09:10:00";"Inventory logs";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
37;Harshit;Singh;harshit.singh;Ark@123;harshit.singh@houseofark.com;9833445566;"IT Head";11;Active;Manager;2023-01-12;"2025-11-14 06:50:00";"IT & systems support";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
38;Ritu;Mishra;ritu.mishra;Ark@123;ritu.mishra@houseofark.com;9820012345;"Head - Sales";12;Active;Manager;2023-02-20;"2025-11-12 11:20:00";"Sales strategy & showflat";1;"2025-11-18 19:35:05";"2025-11-18 19:35:05"
